Direction,Sample,Sep,Mouse Speed,Eye Speed,Mouse Angle,Eye Angle,Mouse I-Angle,Eye I-Angle,Mouse Region,Eye Region
1,0,0,2108.3747272199653,992.1499605571505,0.27786023748542815,2.545030020979227,0.00911968181070233,0.0,0,0
1,0,0,2570.3222223711705,236.88818166333743,0.4053157226284613,2.1499059194456085,0.0,0.0015563308383728651,0,0
1,0,0,3147.953830010493,98.4998965683017,0.10785982097179765,2.019188176290011,0.0,0.00018726279125124361,0,0
1,0,0,5563.776265167209,145.5047399745695,0.42733343307692434,2.058955100618309,0.0,0.0005516079740133427,0,0
1,0,0,2195.7902465890866,105.05138497075212,0.17819214812198075,2.1114401163054923,0.0,0.00035418184664977916,0,2
1,0,0,3143.5358743661736,0.0,0.16147807672176004,2.0523742729608654,0.0,0.0,0,2
1,0,0,3588.33285820342,142.74542067050044,0.39728847818946694,1.9501044858547871,0.0,0.0006369507585109282,0,1
1,0,0,1103.3919084593379,215.87285144809806,0.2003860969641194,2.125099750207679,0.0,0.00113313419874089,0,1
1,0,0,1553.3311816508428,278.78745118207837,0.3028360173141721,2.1132036088355317,0.0,0.00150081507148867,0,1
1,0,0,597.1147415687399,120.76939363545834,0.41746684071795037,1.7002916182866783,0.0,0.00029826495104043685,0,1
1,0,0,377.14875540910714,95.71405951961768,0.606832523163281,2.0248381291510587,0.0,0.00015228448992387378,0,1
1,0,0,1237.555666807109,81.42752669122541,0.5076142595902939,1.9393904975271665,0.0,0.0007418846871649563,0,1
1,0,0,1075.5784152039485,117.25645409330988,0.47044190122682006,2.0153529699821746,0.0,0.0002752755253819403,0,1
1,0,0,1101.9335323988867,197.24737570121448,0.44224654562215077,2.0674062592331923,0.0,0.0012861908680315952,0,1
1,0,0,172.1626274665607,211.63723321933827,0.8154718434403088,2.3293653811685218,0.007964551667409114,0.0,0,1
1,0,0,546.9720894370853,226.38996653271684,2.3660933652641574,1.8244219274514943,0.0,0.001061777108361469,0,1
1,0,0,66.74587176783116,93.38271502752308,1.8491840284343284,1.1472558588154973,0.0,0.0009725475433760937,0,1
1,0,0,0.0,185.176257123285,0.0,0.7068253969014647,0.0,0.0,0,0
1,1,0,11602.917087334023,702.4652494260536,0.5235987755982989,2.0378309689698977,0.0028300331137645677,0.0,0,0
1,1,0,1113.811239574246,66.14200174819652,0.3589399289147593,2.2608766956403814,0.0,3.063365223195761e-05,0,0
1,1,0,3397.0654556862733,108.302887910172,0.463709014577302,2.13007390474043,0.0,4.431880656271758e-06,0,0
1,1,0,2787.6631079478057,83.65150672431429,0.1217275900112648,2.244447997546883,0.0,3.5666398582456794e-05,0,0
1,1,0,3315.0311774424326,70.23734137138922,0.16735867545101363,2.2387923514614134,0.0,6.104578485891927e-05,0,0
1,1,0,5309.312175624888,929.5662075150818,0.30779927697828274,2.308790520547912,0.0,0.0031815009479973927,0,2
1,1,0,2854.3057210572097,5155.136769521104,0.18262245191050563,2.230647323073645,0.0,0.018510694685910514,0,2
1,1,0,3759.839425743943,3130.8278024179804,0.29144931116664363,2.2201128325354618,0.0,0.025375097853911028,0,1
1,1,0,3794.9453933763903,0.0,0.08840218561972141,2.074586917619463,0.0,0.0,0,1
1,1,0,1986.418554982584,542.0888469476523,0.1833521949954171,2.153010682052367,0.017526466434250515,0.0,0,1
1,1,0,3352.7847148556048,447.73218902577696,0.6770758507446687,2.0860340445855536,0.0,0.000441496343684608,0,1
1,1,0,1554.1961419957765,262.8528938937389,0.26313173152738606,2.1007991034417675,0.0,0.0005102789967920956,0,1
1,1,0,2790.5352080607363,86.70412971896828,0.49334767444579586,2.1468288070462136,0.0,0.0003846818234903525,0,1
1,1,0,1295.0567864487566,126.8424621457584,0.5779356068075406,2.21126995142043,0.0,0.0012154627756401353,0,1
1,1,0,185.24253256495606,152.74603939709863,0.9179138116380031,2.085161527229978,0.006693005557506262,0.0,0,1
1,1,0,315.30821377896893,178.2242174494829,2.582992467818074,2.332899639129886,0.009520288895528006,0.0,0,1
1,1,0,124.03870007442322,134.2049625204531,1.6318351734268344,1.167817717483776,0.0005945536062071861,0.0,0,1
1,1,0,0.0,93.54402620829359,0.0,2.0244478096726937,0.0,0.0,0,0
1,10,0,1611.6035455278002,230.91372240079485,0.14737002968534793,2.12671539320439,0.007654665848385993,0.0,0,0
1,10,0,1456.434621629368,148.75530245650907,0.15084775938269576,2.237060257366336,0.010728106343429055,0.0,0,0
1,10,0,2317.1970169989568,187.8936976562395,0.16013687487917602,2.1826437896271558,0.0,0.00017682904376244797,0,0
1,10,0,4178.837537761046,128.55853845923926,0.29364929418432123,2.2443851719763113,0.0,0.00023925755298152067,0,0
1,10,0,2615.466920287701,215.18738804788046,0.12800335200591773,2.11998530530574,0.0,0.00015135098765830266,0,0
1,10,0,4366.289849871404,161.35437807095394,0.13319755821343446,2.1431716548928703,0.0,0.00023384265313150773,0,2
1,10,0,2049.1154416654226,129.6997325077024,0.18916136477696793,2.2232441517187977,0.0,0.00017065890845547203,0,2
1,10,0,4521.116333825207,116.01328889894066,0.16214335104757976,2.2143068427974413,0.01549714518673743,0.0,0,2
1,10,0,2775.9990145360484,133.67884617186826,0.24622306504029723,2.2561475804789866,0.01382010952059878,0.0,0,1
1,10,0,1499.6815997575623,7288.58029613842,0.22433415749536856,2.2359460848711907,0.0,0.023897156819693108,0,1
