Direction,Sample,Sep,Mouse Speed,Eye Speed,Mouse Angle,Eye Angle,Mouse I-Angle,Eye I-Angle,Mouse Region,Eye Region
1,0,478.2185718651018,114.69862935137925,371.52096435310085,1.32987859151519,1.673210742029078,0.0006548428827028831,0.0,0,1
1,0,478.93924051605075,353.1489111241907,1102.4875674285784,0.5062623685120226,1.8546003329996399,0.0011670810497978268,0.0,0,1
1,0,441.2317693594176,977.0355393021483,615.8849223714305,0.1693666347333002,1.4803237843596102,0.0,0.004546135764574803,0,1
1,0,411.36634059048333,1851.5091192484388,44.45738338416359,0.22671521453637755,1.6592508288158512,0.0,6.302865063713184e-05,0,1
1,0,371.5585676264575,4986.200970393531,532.6703576871375,0.49596220503175037,1.6192813981266727,0.015095654914533711,0.0,0,1
1,0,305.31982270773693,5502.811020809045,953.1429007045361,0.19778944745687074,1.5892773867054413,0.0,0.003089369502061566,0,1
1,0,195.62699071511852,6522.09495535422,81.31501822897718,0.1866465659903133,1.6362923546349168,0.0,1.4902524588276082e-05,2,1
1,0,96.41978612913574,5933.236025831811,500.44460935994704,0.21728079132998873,1.695465623985172,0.0,0.0018319945184409436,1,1
1,0,47.397090105242235,4508.855910085206,304.7219732739405,0.1900275695221509,1.6990559246035035,0.05002409772008332,0.0,1,1
1,0,80.1042332804833,127.57034308449143,669.8096032087936,1.143187563997673,1.4045602166169273,0.0,0.003320861507177056,1,1
1,0,81.0926187161939,958.7066293074373,305.52210476740476,2.4034883462723067,1.6209040561152768,0.00955302818566518,0.0,1,1
1,0,54.52784848308394,1136.2742156919078,493.02590559178645,2.3866017646328723,1.7618499204397404,0.0,0.002208579641932398,1,1
1,0,37.65140295194858,1171.764949706735,806.9086816040855,2.300250009883945,1.6317899550088462,0.0,0.0012412342520008827,1,1
1,0,9.913202019305098,535.2583261410391,323.4617788759582,2.193417728867112,1.552372699311503,0.0,0.001535098960359678,1,1
1,0,10.549293023736466,119.4600406164138,318.37641673976884,1.6195249794876572,1.9402831781644752,0.0,0.005843384265705388,1,1
1,0,14.422343598987576,239.8451285741207,239.84100166616085,0.7511567284549854,2.0430396182380446,0.006311559184927382,0.0,1,1
1,0,12.926154028709401,317.86395422759057,461.8918008742066,1.0348304381536015,1.4994325025403146,0.0,0.002889110862055196,1,1
1,0,0.0,0.0,488.58346888020407,0.0,1.2976828722803446,0.0,0.0,0,1
1,0,0.0,0.0,459.7531107738151,0.0,1.7468778425561753,0.0,0.0,0,1
1,0,0.0,0.0,243.90396025542705,0.0,2.2530707208927176,0.0,0.0,0,1
1,1,423.4914114527009,1101.6586082379583,1106.5737631505722,0.14684789354501196,2.0941998490120635,0.007685084322526171,0.0,0,1
1,1,396.53268097888144,2301.0207091863826,319.4724703890531,0.10996252186989103,1.66857558934614,0.0,0.00020183233788209797,0,1
1,1,346.930365685845,6207.6100701230025,0.0,0.22233392229335452,1.6586108634089471,0.0,0.0,0,0
1,1,274.69152941182136,2967.741694265721,414.14089868627735,0.19620808393789713,1.5126819912110014,0.0,0.002394343610462366,0,1
1,1,200.36860599419148,7131.317153354559,211.87037486004442,0.3744752691689991,1.7643613165372207,0.0,0.0009987640277002864,2,1
1,1,139.90643962827403,3530.9543528220433,434.7972354795777,0.29679733272172387,1.6671742781746437,0.0,0.0006312295440743046,1,1
1,1,88.24876942843292,5318.0369389865755,685.329224418208,0.46432477973114306,1.6865481741050423,0.0,0.0015852616719842648,1,1
1,1,58.118938307843045,4281.401012774364,222.32609556344553,0.4334435663601877,1.7139947267200553,0.021611921031806768,0.0,1,1
1,1,53.35161244984138,2824.2474854532916,451.8946755849873,0.548933203213801,1.7345557110401602,0.015586695329986619,0.0,1,1
1,1,61.46322830768874,1075.6906238018469,366.8727372645687,0.4001112729751083,1.8028386297007526,0.0,0.0033309604382435374,1,1
1,1,71.9360304780724,187.6772217351727,290.3683353642046,0.8395719265909911,1.881502316673869,0.0,0.005319349440753859,1,1
1,1,67.50161081963503,416.8463202708325,333.4776888005163,1.1643554456363834,1.702330284517448,0.0,0.0014257686983319695,1,1
1,1,46.12315246133916,728.8604588445745,461.52300533023026,1.5343572137802322,1.5581580501112366,0.0,0.0033175331979950124,1,1
