Direction,Sample,Sep,Mouse Speed,Eye Speed,Mouse Angle,Eye Angle,Mouse I-Angle,Eye I-Angle,Mouse Region,Eye Region
1,1,0.0,0.0,411.37529976822685,0.0,0.9293147452241358,0.0,0.0,0,1
1,1,470.71417737044084,2216.5398121859157,805.5175313247348,0.39703333884343933,2.1078345643231167,0.005240852274726906,0.0,0,1
1,1,458.69951533263526,1691.2531264958754,60.9352415230523,0.1267740350545369,1.4728077582262464,0.0,0.00031648104989700625,0,1
1,1,427.48940660768,3253.090435914118,265.9727004051922,0.11896765838564133,1.5867705626975672,0.0,0.0005370280354832842,0,1
1,1,389.20703129267633,6949.80694980695,1060.2566973892115,0.29687258596073524,1.6065275492492828,0.0,0.00030984985975072884,0,1
1,1,350.62076064288215,2101.849627672352,294.9104118381248,0.12614036987410154,1.5608755394727658,0.0,0.000778191123740825,0,1
1,1,310.07925761898036,3400.08789318156,505.2623951613172,0.1791701197347949,1.548536972366319,0.0,0.0015624953490808245,0,1
1,1,275.85366701795,1755.44794188862,496.14501810887083,0.13406907719087166,1.5946213254118302,0.0,0.0005146287914992731,2,1
1,1,244.6427893494211,1720.1494750578327,383.646179896503,0.13753272101187838,1.6076045026486645,0.0,0.000318633984164076,2,1
1,1,219.1572211556017,2930.7972964890255,166.8445697118671,0.3156056011996328,1.4438966637492088,0.0,0.0008541137711167969,2,1
1,1,194.1366312113321,1507.5959642815726,583.5703832512337,0.14395634196285834,1.6415009444048851,0.0,0.0009331222085539561,1,1
1,1,173.55089612906463,843.2029269922825,201.89054940073424,0.3364600384113305,1.840654419628377,0.0,0.002812584719210137,1,1
1,1,154.96209444973954,1289.960183941773,109.5299192278852,0.4381742909366586,1.4645600976774282,0.0,0.00039431747904088816,1,1
1,1,136.55734482077486,898.6154591696659,229.4781591516054,0.5033439979708708,1.7837196104486581,0.0,0.0012055115873887974,1,1
1,1,114.77510034819737,451.68192083680015,218.01526332574542,0.4185924655324588,1.394733452796479,0.0,0.0018398144252559933,1,1
1,1,95.26311848226023,435.31887107306096,352.88922055248185,0.4286949571357549,1.8211379795953688,0.0103747078229055,0.0,1,1
1,1,85.19441413257952,452.5856935280246,417.3110427435474,0.4097970014108333,1.8557720808401847,0.0,0.005238852118909829,1,1
1,1,73.22290696257197,463.6984856209572,413.8722994683849,0.7315752474244561,1.4646221099385657,0.009299384737670727,0.0,1,1
1,1,51.44669228667164,357.6182623725985,480.0685756004103,0.501017966437121,1.3415363020003832,0.0,0.0019164682128882849,1,1
1,1,44.61483165016872,361.9399983913778,325.33548157670623,1.1221867914300294,2.057418075471748,0.004155272000234554,0.0,1,1
1,1,29.95932504477373,65.92392379194409,348.9026028853337,1.5460411696381609,0.8403223135287087,1.9470404284814124e-05,0.0,1,1
1,1,42.14737051861255,40.14452027298274,368.41200805118586,1.5401109252773189,2.5558491616503494,1.9523835097747467e-05,0.0,1,1
1,1,35.07298326635845,9.92014285005704,754.7609778216417,1.5413875714287466,0.5343483754200389,0.0,0.008555658142194724,1,1
1,1,0.0,0.0,3036.593638538582,0.0,1.8711390355478863,0.0,0.0,0,1
1,1,0.0,0.0,2140.708774950842,0.0,1.5266967031312015,0.0,0.0,0,1
1,2,9.602892231152364,682.6715212197065,147.04769735878202,0.20474064679888945,2.267090807155684,0.002454552602457851,0.0,0,0
1,2,19.994580787910934,941.3979759943517,60.79821196933084,0.16260757987007926,1.851373069243186,0.010875450667672109,0.0,0,0
1,2,46.912558874673074,2345.940378783544,212.3982493287971,0.10530717675484164,2.077804413164549,0.0,0.000659151548926533,0,0
1,2,5.719324946137122,881.5610209595094,12088.066309650634,0.2321457215911925,2.231309740531009,0.0,0.07448866355966928,0,0
1,2,194.2772107065492,3419.146173257837,9697.150606120187,0.3746408750380136,1.9565635220980035,0.0,0.044402362298835804,0,1
1,2,297.59288821463696,1883.960630110225,3166.836634965753,0.1920434545919476,1.6723713605299826,0.0,0.0019874335579416085,0,1
1,2,279.5791223061798,2280.6650165588753,2033.1022806493115,0.32401814816691543,1.6701259999218478,0.0,0.003727499316896455,0,1
1,2,251.44743196080884,2129.717819283152,114.0606469770015,0.386753929925562,1.585262337988164,0.0,0.0004117260275955416,2,1
1,2,215.43604746149055,3408.7091551951216,399.6806190301797,0.2449507344392931,1.5636679405913525,0.0,0.001930745643078,2,1
1,2,179.21072650243585,1421.49169428425,576.7699967231604,0.2276479059872895,1.5934376736297058,0.0,0.0015722848361154169,2,1
1,2,142.20344739607006,3178.901512921646,449.66651788277375,0.1298623433320395,1.6137557871283428,0.0,0.001293911432115363,1,1
1,2,110.68496169107868,1049.2332526230832,568.8179301788953,0.2002451023950448,1.5591293479724837,0.0,0.0027880279571751835,1,1
1,2,128.95372729238977,518.5915054711404,1449.9079652803855,0.5566919118931686,2.1323401543905605,0.0,0.058116857010152005,1,1
1,2,111.48619607919814,718.5102124899881,639.7830585831405,0.4558477850351933,1.3266559151129675,0.0,0.0,1,1
1,2,84.24230259074194,1098.2244919738157,484.5063101234902,0.5195381272254054,1.5965926020265904,0.0,0.0018969839082597969,1,1
1,2,57.98077238523668,994.8766548514776,865.2193685223972,0.6939657436973529,1.4529976992538272,0.0,0.004054601668447321,1,1
1,2,40.08885001537906,422.2218064557776,458.8264299881958,0.6988267873597565,1.6238667202680723,0.0,0.0019650194186717923,1,1
1,2,30.900903952382865,172.1375511447147,1202.6716493404836,0.7825575746693059,1.865666789530316,0.007764486360175944,0.0,1,1
1,2,35.7652804963793,272.7564378070204,409.955648344216,1.0673446050815043,2.1037037114350383,0.015524847307311063,0.0,1,1
1,2,31.83594034901153,5698.005698005698,423.36512748022204,1.5426426550776395,1.7859610829372827,3.5406984356998723e-05,0.0,1,1
1,2,29.08215223267642,124.0233163834801,378.3739529554425,1.708490810690961,1.7788369785684963,0.001979679876677093,0.0,1,1
1,2,0.0,0.0,336.5431511009004,0.0,1.5458055412683394,0.0,0.0,0,1
1,4,0.0,0.0,122.0672021696985,0.0,2.3065190028200107,0.0,0.0,0,0
