Direction,Sample,Sep,Mouse Speed,Eye Speed,Mouse Angle,Eye Angle,Mouse I-Angle,Eye I-Angle,Mouse Region,Eye Region
1,1,0,10033.444816053512,120.74443754352195,0.0,1.2986851408282358,0.0014532530750197465,0.0,0,0
1,1,0,846.5096051373505,3294.2586355245103,0.19292103333598254,2.36906318890006,0.0,0.016270719969289842,0,0
1,1,0,1758.4649346015267,2762.9232670418505,0.33249273026541104,2.3170982809275285,0.0,0.023483803694783482,0,0
1,1,0,1620.4641472307426,549.4258420968289,0.17996402476862372,2.1764353752560317,0.0,0.00166159295383291,0,0
1,1,0,1922.8594050446786,177.8071304571711,0.12312290148719665,2.20538446595777,0.0,0.0005609829568972649,0,0
1,1,0,1386.288991704431,1136.6257364717478,0.3531826250022807,2.18974817932932,0.0,0.008093135486369005,0,0
1,1,0,1117.248559689505,338.34035658877013,0.21428142904275,2.0817528511808314,0.0,0.0005218180683940835,0,0
1,1,0,964.2426677380473,206.10960388237385,0.20053656078718304,2.121433134050209,0.0,0.0008852706695259957,0,2
1,1,0,1374.1769252791296,311.1176148903828,0.1367498408958911,2.1016142602713987,0.0,0.0008390337978363885,0,2
1,1,0,1153.9761138231167,387.507704796416,0.2205386459661186,2.0816799931888244,0.0,0.0004222381434072978,0,2
1,1,0,928.1678773204196,58.09733607703745,0.21396112180685356,2.139239342471311,0.0,0.00019557924324542373,0,1
1,1,0,916.8825991628464,493.52460409581636,0.21842815271348626,2.01953007141517,0.0,0.0010330592415329915,0,1
1,1,0,1108.2885081175498,153.20288751269482,0.20698576550679626,2.153223399784788,0.0,0.0015572215250453374,0,1
1,1,0,872.1279923012149,263.16726801612776,0.30402005889582795,2.1366044578592507,0.0,0.0040716021783540005,0,1
1,1,0,820.6009925364386,487.1644717164711,0.2459273512016943,1.9706519471292443,0.012536701515447123,0.0,0,1
1,1,0,409.5458091821617,175.0029664292478,0.4134649832036844,1.9025523987335229,0.0,0.001999759864243272,0,1
1,1,0,263.7748953980029,229.3694525952057,0.6974044130882935,1.7976701140547082,0.0,0.0012744590547706116,0,1
1,1,0,361.87700628063004,336.7881725047275,0.6226389611922591,2.256692669802552,0.0,0.0043179555050445175,0,1
1,1,0,616.4058795637743,206.51865451645043,0.4128255971871925,2.0375852144345235,0.0,0.0010095197218790142,0,1
1,1,0,0.0,241.2715979141832,1.5111300764296052,0.2868935249986385,0.0,0.007173356661484828,0,0
1,4,0,2090.554091783565,179.7649390179676,0.22062947718931133,1.6324775482690674,0.0066735966725851815,0.0,0,0
1,4,0,2522.230076857997,270.7957120311393,0.3743740441338861,2.1820165803156697,0.011705271261623476,0.0,0,0
1,4,0,1806.5034122842237,5635.024325485292,0.17779843267443782,2.3179971355248683,0.0,0.03620936927685127,0,0
1,4,0,3033.0732081489177,2209.956473453764,0.4577876294559851,2.2044881362914404,0.0,0.014337742308370363,0,0
1,4,0,2990.74020820153,775.2198044828008,0.12935098153516353,2.081532247441147,0.0,3.142046938652434e-05,0,0
1,4,0,2327.452425155725,463.64330523173095,0.218803764501124,2.102109579510515,0.0,0.0006777102117664272,0,2
1,4,0,1342.2288895029806,306.46350214031963,0.21213454928898587,2.065608341026949,0.0,0.0012161714667618662,0,1
1,4,0,924.8723521747172,179.11471552189525,0.3280934206001842,1.9620087685054903,0.012536470903808864,0.0,0,1
1,4,0,784.1225737308224,804.7809568527092,0.5847608648476411,2.1802746595143176,0.0,0.01260155082664998,0,1
1,4,0,835.3635691919708,451.62448863559945,1.0975830240492987,2.2320611768844083,0.0,0.003851973457205213,0,1
1,4,0,404.2897318552858,245.80757814557012,0.7416426373208409,2.142585291421744,0.0,0.002490039494083825,0,1
1,4,0,478.19672313387656,88.62681763179319,0.4963252149131445,2.07640851814896,0.0,0.0006944582893481164,0,1
1,4,0,487.30568685736563,205.3909350982521,0.39458149776065,1.7773330776577017,0.0,0.002284394210301478,0,1
1,4,0,700.3552280342166,113.21913476053385,0.4863478721243402,1.8865309025142425,0.0,0.0005375243512106175,0,1
1,4,0,696.8913737025803,213.3307987045559,0.8491819062998641,2.1974306125645606,0.0,0.0021520771086323285,0,1
1,4,0,358.59431030360986,122.13156237625641,0.8438258435498116,2.275640640899161,0.0065961808912316285,0.0,0,1
1,4,0,69.92029086840999,237.8425540229893,1.2682524212132007,1.0285420775804035,0.0023035360830285863,0.0,0,1
1,4,0,53.705692803437174,174.4005219524391,1.2553079061411192,1.24932044587006,0.0,0.002233594566670834,0,1
1,4,0,0.0,252.84153175890958,0.0,1.0470316444280536,0.0,0.0,0,0
1,5,0,1246.190998641207,5113.328697268255,0.35590412396630217,2.2790470317436133,0.007483552471100034,0.0,0,0
1,5,0,2325.767904402919,1464.893037423336,0.3081937892137849,2.065971853118326,0.014454632806052331,0.0,0,0
1,5,0,1964.069089018543,479.18746257195437,0.18024223996466016,2.167999630097952,0.0,0.002734279186218416,0,0
1,5,0,2430.10245879933,1212.465297649979,0.1768266587923514,2.0723471999225773,0.0,0.0003757246554801182,0,0
1,5,0,4067.1785497132378,432.46616186137777,0.2324778803219888,1.981249961402736,0.019842890026817158,0.0,0,0
1,5,0,2468.152819976855,550.2638869722307,0.2269483821098283,2.0876421056762577,0.020940336089725564,0.0,0,2
1,5,0,1682.9278843330524,427.6255975297696,0.16934190171629007,2.085246924475652,0.0,0.0006838883844850936,0,2
1,5,0,1325.4956201014293,270.90029441060136,0.15028985599272016,2.0244049823202848,0.012747011578944884,0.0,0,1
1,5,0,834.0946101600667,293.7263388967124,0.230141828582418,2.0802818541931165,0.01207221060153822,0.0,0,1
1,5,0,672.2112992554312,322.41051805275725,0.2363174875410613,1.956714171859172,0.0,0.0014333448678233828,0,1
